Producto - Descripción,Cliente - Descripción,Fecha,Pedido_piezas,Pedido_MXN,Factura_piezas,Factura_MXN
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/05/2024,647895,20084745,342240,10609440
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/05/2025,474240,16124160,474240,16124160
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/06/2019,17280,552960,17280,552960
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/06/2020,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/06/2021,90240,3158400,90240,3158400
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/06/2022,136020,5712840,136020,5712840
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/06/2023,279360,8939520,279360,8939520
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/06/2024,389760,12082560,231360,7172160
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/06/2025,219840,7474560,219840,7474560
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/07/2019,40320,1290240,40320,1290240
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/07/2020,279840,10481280,279840,10481280
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/07/2021,150240,5258400,150240,5258400
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/07/2022,192180,8071560,158400,6652800
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/07/2023,146400,6148800,146400,6148800
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/07/2024,343200,10639200,228960,7097760
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/07/2025,508800,17297760,362880,12337920
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/08/2019,116640,3523200,116640,3523200
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/08/2020,78720,2711040,78720,2711040
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/08/2021,244320,8551200,244320,8551200
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/08/2022,166560,6995520,166560,6995520
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/08/2023,244800,8529600,244800,8529600
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/08/2024,428160,13272960,339360,10520160
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/08/2025,563520,19159680,557760,18963840
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/09/2019,43680,1310400,43680,1310400
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/09/2020,215520,7327680,215520,7327680
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/09/2021,398880,13960800,198720,6955200
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/09/2022,509760,19448640,509760,19448640
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/09/2023,49440,1582080,49440,1582080
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/09/2024,531360,16472160,482400,14954400
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/09/2025,244800,8323200,236160,8029440
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/10/2019,134880,4073280,134880,4073280
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/10/2020,93600,2892240,93600,2892240
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/10/2021,448320,15691200,188160,6585600
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/10/2022,374880,14176800,374880,14176800
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/10/2023,535200,17323200,494880,15845760
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/10/2024,301440,9344640,203520,6309120
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/11/2019,298560,9200640,298560,9200640
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/11/2020,174720,5643456,174720,5643456
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/11/2021,325440,11390400,36480,1276800
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/11/2022,250080,9378000,250080,9378000
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/11/2023,20625,660000,20625,660000
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/11/2024,381120,12195840,311520,9968640
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/12/2019,17280,552960,8160,261120
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/12/2020,46080,1566720,36960,1256640
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/12/2021,359520,12583200,29280,1024800
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/12/2022,250080,9378000,250080,9378000
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/12/2023,303060,9697920,122100,3907200
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 1,01/12/2024,180960,5790720,180960,5790720
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/01/2019,199680,5391360,199680,5391360
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/01/2020,374400,11980800,374200,11974400
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/01/2021,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/01/2022,329760,13190400,329760,13190400
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/01/2023,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/01/2024,84150,2776950,84150,2776950
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/01/2025,194400,6609600,194400,6609600
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/02/2019,57600,1555200,57600,1555200
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/02/2020,230400,7372800,48000,1536000
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/02/2021,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/02/2022,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/02/2023,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/02/2024,225225,6981975,225225,6981975
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/02/2025,100320,3410880,100320,3410880
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/03/2019,91200,2462400,67200,1814400
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/03/2020,648000,22896000,360000,13680000
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/03/2021,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/03/2022,424320,16972800,145920,5836800
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/03/2023,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/03/2024,295350,9709425,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/03/2025,235680,8011680,197760,6723840
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/04/2019,88800,2366400,88800,2366400
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/04/2020,144000,4896000,144000,4896000
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/04/2021,351360,10189440,351360,10189440
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/04/2022,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/04/2023,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/04/2024,607875,22980510,347040,12025440
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/04/2025,83040,2823360,82560,2807040
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/05/2019,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/05/2020,168000,4704000,168000,4704000
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/05/2021,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/05/2022,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/05/2023,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/05/2024,93600,2901600,93600,2901600
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/05/2025,183360,6234240,183360,6234240
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/06/2019,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/06/2020,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/06/2021,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/06/2022,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/06/2023,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/06/2024,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/06/2025,205920,7001280,205920,7001280
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/07/2019,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/07/2020,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/07/2021,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/07/2022,249600,10483200,249600,10483200
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/07/2023,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/07/2024,65280,2023680,65280,2023680
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/07/2025,196800,6691200,187200,6364800
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/08/2019,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/08/2020,20160,685440,20160,685440
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/08/2021,144480,4377744,144480,4377744
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/08/2022,354240,13461120,354240,13461120
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/08/2023,157920,5053440,157920,5053440
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/08/2024,105600,3273600,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/08/2025,2400,81600,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/09/2019,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/09/2020,47520,1468886,47520,1468886
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/09/2021,180000,5454000,180000,5454000
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/09/2022,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/09/2023,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/09/2024,172320,5341920,172320,5341920
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/09/2025,64320,2186880,64320,2186880
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/10/2019,4800,153600,4800,153600
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/10/2020,21120,652838,21120,652838
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/10/2021,230220,6975666,83520,2530656
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/10/2022,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/10/2023,60285,1929120,30525,976800
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/10/2024,204960,6353760,204960,6353760
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/11/2019,57600,1843200,57400,1836800
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/11/2020,470400,13800000,470400,13800000
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/11/2021,254400,7708320,254400,7708320
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/11/2022,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/11/2023,156750,5016000,156750,5016000
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/11/2024,269760,8632320,269760,8632320
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/12/2019,120000,3840000,120000,3840000
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/12/2020,69120,2350080,69120,2350080
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/12/2021,120960,3665088,120960,3665088
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/12/2022,159840,6073920,159840,6073920
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/12/2023,271425,8685600,271425,8685600
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 2,01/12/2024,258720,8796480,127680,4341120
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/01/2019,342275,8401907,147840,3629069
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/01/2020,479520,13950792,479520,13950792
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/01/2021,698880,21603341,698880,21603341
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/01/2022,322080,11710783,320640,11660383
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/01/2023,52800,2006400,32160,1222080
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/01/2024,454560,18753600,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/01/2025,15360,522240,15360,522240
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/02/2019,201120,4936776,201120,4936776
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/02/2020,641280,18657006,608160,17693426
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/02/2021,71520,2100276,26400,775248
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/02/2022,520865,18887204,309665,11206820
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/02/2023,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/02/2024,517920,16055520,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/02/2025,297600,10118400,297120,10102080
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/03/2019,216000,5302113,48000,1178232
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/03/2020,1003200,30049824,158400,5472288
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/03/2021,10560,326419,10560,326419
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/03/2022,6730,164212,6715,163846
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/03/2023,232800,8971200,232800,8971200
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/03/2024,161280,4999680,60960,1889760
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/03/2025,57705,1961970,57600,1958400
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/04/2019,75360,2034720,75360,2034720
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/04/2020,429120,13608335,429120,13608335
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/04/2021,13920,430295,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/04/2022,316925,12093079,316925,12093079
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/04/2023,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/04/2024,207360,6428160,130560,4047360
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/04/2025,202560,6887040,202560,6887040
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/05/2019,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/05/2020,634080,16172844,629280,16019244
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/05/2021,42720,1059633,42720,1059633
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/05/2022,1480,36171,1480,36171
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/05/2023,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/05/2024,177125,5490875,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/05/2025,172320,5858880,172320,5858880
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/06/2019,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/06/2020,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/06/2021,175200,4778569,175200,4778569
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/06/2022,338400,12921705,242880,9274042
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/06/2023,1105860,38474460,937380,32409180
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/06/2024,422400,13094400,168000,5208000
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/06/2025,248160,8437440,248160,8437440
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/07/2019,65280,1775616,65280,1775616
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/07/2020,715200,23084140,715200,23084140
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/07/2021,400800,12825600,400800,12825600
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/07/2022,1006125,38203703,803565,30506423
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/07/2023,555,19980,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/07/2024,289440,8972640,74400,2306400
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/07/2025,266880,9073920,251040,8535360
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/08/2019,72480,1961280,72480,1961280
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/08/2020,359040,11098423,359040,11098423
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/08/2021,166080,5314560,166080,5314560
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/08/2022,558740,21171577,558725,21171007
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/08/2023,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/08/2024,363840,11279040,305280,9463680
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/08/2025,355690,12093460,353280,12011520
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/09/2019,245760,6703047,245760,6703047
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/09/2020,14400,445426,14400,445426
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/09/2021,208775,6658025,55175,1770346
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/09/2022,9610,244767,4805,122720
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/09/2023,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/09/2024,269335,8349385,269280,8347680
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/09/2025,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/10/2019,82560,2401910,82560,2401910
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/10/2020,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/10/2021,509945,16525036,83125,2615836
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/10/2022,450720,17127360,450720,17127360
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/10/2023,153450,4143150,153450,4143150
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/10/2024,458410,14210710,297600,9225600
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/11/2019,145440,4231464,145440,4231464
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/11/2020,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/11/2021,975915,32182991,553355,17586322
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/11/2022,200160,7606080,200160,7606080
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/11/2023,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/11/2024,623540,19952780,566400,18124800
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/12/2019,189120,5502104,189120,5502104
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/12/2020,299520,8641123,299520,8641123
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/12/2021,5960,140537,5960,140537
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/12/2022,207360,7879680,207360,7879680
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/12/2023,78720,2519040,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 3,01/12/2024,59570,1906240,59520,1904640
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/01/2019,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/01/2020,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/01/2021,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/01/2022,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/01/2023,12960,477706,12960,477706
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/01/2024,250800,7774800,250800,7774800
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/01/2025,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/02/2019,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/02/2020,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/02/2021,1000320,26008320,1000320,26008320
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/02/2022,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/02/2023,22080,856704,22080,856704
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/02/2024,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/02/2025,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/03/2019,715,14,715,14
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/03/2020,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/03/2021,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/03/2022,200160,6805440,200160,6805440
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/03/2023,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/03/2024,0,0,0,0
ANALGESICO + ANTIPERETICO TABLETAS 1,Cliente 4,01/03/2025,1000320,30009600,1000320,30009600
